"id","name"
"900","W.W. Grainger Inc"
"901","Wachovia Corporation"
"902","Wakenhut Corporation"
"903","Walgreen Co"
"904","Wallace Computer Services Inc"
"905","Wal-Mart Stores Inc"
"906","Walt Disney Co"
"907","Walter Industries Inc"
"908","Washington Mutual Inc"
"909","Washington Post Co."
"910","Waste Management Inc"
"911","Watsco Inc"
"912","Weatherford International Inc"
"913","Weis Markets Inc."
"914","Wellpoint Health Networks Inc"
"915","Wells Fargo & Company"
"916","Wendy's International Inc"
"917","Werner Enterprises Inc"
"918","WESCO International Inc"
"919","Western Digital Inc"
"920","Western Gas Resources Inc"
"921","WestPoint Stevens Inc"
"922","Weyerhauser Company"
"923","WGL Holdings Inc"
"924","Whirlpool Corporation"
"925","Whole Foods Market Inc"
"926","Willamette Industries Inc."
"927","Williams Companies Inc"
"928","Williams Sonoma Inc"
"929","Winn Dixie Stores Inc"
"930","Wisconsin Energy Corporation"
"931","Wm Wrigley Jr Company"
"932","World Fuel Services Corporation"
"933","WorldCom Inc"
"934","Worthington Industries Inc"
"935","WPS Resources Corporation"
"936","Wyeth"
"937","Wyndham International Inc"
"938","Xcel Energy Inc"
"939","Xerox Corp"
"940","Xilinx Inc"
"941","XO Communications Inc"
"942","Yellow Corporation"
"943","York International Corp"
